# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 181K of event 'task-clock'
# Event count (approx.): 45331250000
#
# Overhead  Command  Shared Object      Symbol                                  
# ........  .......  .................  ........................................
#
    36.67%  example  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
    18.97%  example  example            [.] fibo
    13.50%  example  libgomp.so.1.0.0   [.] 0x000000000001caa9
     9.57%  example  libgomp.so.1.0.0   [.] 0x000000000001d2da
     7.01%  example  [kernel.kallsyms]  [k] finish_task_switch
     1.30%  example  libgomp.so.1.0.0   [.] 0x000000000001caa2
     0.88%  example  libgomp.so.1.0.0   [.] 0x000000000001caad
     0.67%  example  libgomp.so.1.0.0   [.] 0x000000000001ca7d
     0.58%  example  libgomp.so.1.0.0   [.] 0x000000000001d2de
     0.47%  example  [kernel.kallsyms]  [k] do_syscall_64
     0.40%  example  [kernel.kallsyms]  [k] memcpy_erms
     0.38%  example  [kernel.kallsyms]  [k] perf_output_begin_forward
     0.38%  example  [kernel.kallsyms]  [k] perf_syscall_enter
     0.37%  example  [kernel.kallsyms]  [k] syscall_trace_enter
     0.34%  example  libgomp.so.1.0.0   [.] 0x000000000001d31c
     0.33%  example  libgomp.so.1.0.0   [.] 0x000000000001c9e2
     0.32%  example  [kernel.kallsyms]  [k] __task_pid_nr_ns
     0.31%  example  [kernel.kallsyms]  [k] futex_wait_setup
     0.31%  example  example            [.] main._omp_fn.0
     0.29%  example  [kernel.kallsyms]  [k] do_futex
     0.29%  example  [kernel.kallsyms]  [k] futex_wait
     0.25%  example  libgomp.so.1.0.0   [.] GOMP_barrier
     0.24%  example  [kernel.kallsyms]  [k] __x64_sys_futex
     0.21%  example  [kernel.kallsyms]  [k] plist_add
     0.20%  example  [kernel.kallsyms]  [k] perf_output_copy
     0.20%  example  [kernel.kallsyms]  [k] perf_prepare_sample
     0.19%  example  libgomp.so.1.0.0   [.] 0x000000000001caa0
     0.18%  example  libgomp.so.1.0.0   [.] 0x000000000001d2ec
     0.18%  example  libgomp.so.1.0.0   [.] 0x000000000001d2e5
     0.17%  example  [kernel.kallsyms]  [k] get_futex_key
     0.17%  example  [kernel.kallsyms]  [k] perf_event_output_forward
     0.15%  example  libgomp.so.1.0.0   [.] 0x000000000001d2e3
     0.14%  example  [kernel.kallsyms]  [k] read_hv_clock_tsc
     0.13%  example  [kernel.kallsyms]  [k] perf_tp_event_match
     0.13%  example  [kernel.kallsyms]  [k] hash_futex
     0.13%  example  [kernel.kallsyms]  [k] queued_spin_lock_slowpath
     0.13%  example  [kernel.kallsyms]  [k] futex_wake
     0.12%  example  [kernel.kallsyms]  [k] tracing_generic_entry_update
     0.12%  example  libgomp.so.1.0.0   [.] 0x000000000001caa7
     0.12%  example  [kernel.kallsyms]  [k] wake_up_q
     0.11%  example  [kernel.kallsyms]  [k] perf_tp_event
     0.11%  example  [kernel.kallsyms]  [k] __perf_event_overflow
     0.11%  example  libgomp.so.1.0.0   [.] 0x000000000001d2ea
     0.11%  example  [kernel.kallsyms]  [k] __list_add_valid
     0.10%  example  [kernel.kallsyms]  [k] perf_output_sample
     0.10%  example  libgomp.so.1.0.0   [.] GOMP_critical_end
     0.10%  example  [kernel.kallsyms]  [k] perf_output_put_handle
     0.09%  example  [kernel.kallsyms]  [k] futex_wait_queue_me
     0.09%  example  libgomp.so.1.0.0   [.] GOMP_critical_start
     0.09%  example  [kernel.kallsyms]  [k] perf_misc_flags
     0.09%  example  [kernel.kallsyms]  [k] get_futex_value_locked
     0.09%  example  [kernel.kallsyms]  [k] __perf_event_header__init_id.isra.92
     0.09%  example  [kernel.kallsyms]  [k] __schedule
     0.08%  example  [kernel.kallsyms]  [k] perf_swevent_overflow
     0.08%  example  libgomp.so.1.0.0   [.] 0x000000000001cb1a
     0.08%  example  [kernel.kallsyms]  [k] perf_event_pid_type
     0.08%  example  example            [.] main._omp_fn.1
     0.07%  example  [kernel.kallsyms]  [k] sched_clock_local
     0.07%  example  [kernel.kallsyms]  [k] schedule
     0.07%  example  libgomp.so.1.0.0   [.] 0x000000000001d2d8
     0.07%  example  libgomp.so.1.0.0   [.] 0x000000000001d414
     0.06%  example  [kernel.kallsyms]  [k] mark_wake_futex
     0.06%  example  [kernel.kallsyms]  [k] memcpy
     0.06%  example  [kernel.kallsyms]  [k] get_futex_key_refs.isra.7
     0.06%  example  [kernel.kallsyms]  [k] syscall_slow_exit_work
     0.06%  example  [kernel.kallsyms]  [k] drop_futex_key_refs.isra.11
     0.06%  example  [kernel.kallsyms]  [k] _raw_spin_lock
     0.06%  example  libgomp.so.1.0.0   [.] 0x000000000001ca78
     0.06%  example  libgomp.so.1.0.0   [.] 0x000000000001d320
     0.06%  example  [kernel.kallsyms]  [k] __unqueue_futex
     0.06%  example  [kernel.kallsyms]  [k] try_to_wake_up
     0.05%  example  [kernel.kallsyms]  [k] perf_output_end
     0.05%  example  [kernel.kallsyms]  [k] perf_instruction_pointer
     0.04%  example  libgomp.so.1.0.0   [.] 0x000000000001cac3
     0.04%  example  [kernel.kallsyms]  [k] __perf_event_account_interrupt
     0.04%  example  example            [.] 0x0000000000001170
     0.04%  example  libgomp.so.1.0.0   [.] 0x000000000001c9e6
     0.04%  example  libgomp.so.1.0.0   [.] 0x000000000001d2fd
     0.04%  example  [kernel.kallsyms]  [k] 0x000049000000c003
     0.03%  example  [kernel.kallsyms]  [k] perf_swevent_event
     0.03%  example  [kernel.kallsyms]  [k] sched_clock_cpu
     0.03%  example  [kernel.kallsyms]  [k] wake_q_add_safe
     0.03%  example  example            [.] main._omp_fn.4
     0.03%  example  libgomp.so.1.0.0   [.] 0x000000000001d3b6
     0.03%  example  [kernel.kallsyms]  [k] __list_del_entry_valid
     0.02%  example  [kernel.kallsyms]  [k] perf_swevent_get_recursion_context
     0.02%  example  example            [.] main._omp_fn.3
     0.02%  example  [kernel.kallsyms]  [k] perf_trace_buf_alloc
     0.02%  example  libgomp.so.1.0.0   [.] 0x000000000001c9ed
     0.02%  example  libgomp.so.1.0.0   [.] 0x000000000001ca7b
     0.02%  example  [kernel.kallsyms]  [k] __softirqentry_text_start
     0.02%  example  libgomp.so.1.0.0   [.] 0x000000000001d308
     0.02%  example  libgomp.so.1.0.0   [.] 0x000000000001caf1
     0.02%  example  [kernel.kallsyms]  [k] read_hv_sched_clock_tsc
     0.02%  example  example            [.] main._omp_fn.2
     0.02%  example  libgomp.so.1.0.0   [.] 0x000000000001d30e
     0.02%  example  libgomp.so.1.0.0   [.] 0x000000000001ca88
     0.02%  example  [kernel.kallsyms]  [k] exit_to_usermode_loop
     0.02%  example  [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.01%  example  libgomp.so.1.0.0   [.] 0x000000000001cb20
     0.01%  example  [kernel.kallsyms]  [k] perf_trace_buf_update
     0.01%  example  [kernel.kallsyms]  [k] perf_trace_init
     0.01%  example  [kernel.kallsyms]  [k] local_clock
     0.01%  example  [kernel.kallsyms]  [k] sched_clock
     0.01%  example  libgomp.so.1.0.0   [.] 0x000000000001ca81
     0.01%  example  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.01%  example  libgomp.so.1.0.0   [.] 0x000000000001caf0
     0.01%  example  libgomp.so.1.0.0   [.] 0x000000000001c9f9
     0.01%  example  libgomp.so.1.0.0   [.] GOMP_ordered_start
     0.01%  example  libgomp.so.1.0.0   [.] 0x000000000001d407
     0.01%  example  libgomp.so.1.0.0   [.] 0x000000000001d2fc
     0.00%  example  [kernel.kallsyms]  [k] plist_del
     0.00%  example  [kernel.kallsyms]  [k] run_timer_softirq
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001c9e0
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001c9eb
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001ca98
     0.00%  example  example            [.] 0x00000000000011a0
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001cab8
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001caf2
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001caf3
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d2b7
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d38d
     0.00%  example  [kernel.kallsyms]  [k] rebalance_domains
     0.00%  example  example            [.] 0x0000000000001230
     0.00%  example  libgomp.so.1.0.0   [.] GOMP_ordered_end
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001cab2
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d416
     0.00%  example  [kernel.kallsyms]  [k] free_page_and_swap_cache
     0.00%  example  example            [.] 0x0000000000001200
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001ca59
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001cb15
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d2cb
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d2f0
     0.00%  example  [kernel.kallsyms]  [k] native_apic_mem_read
     0.00%  example  example            [.] 0x00000000000011a4
     0.00%  example  example            [.] 0x00000000000011e0
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001c9f2
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001ca09
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001ca5a
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001ca9d
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d302
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d304
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d360
     0.00%  example  libgomp.so.1.0.0   [.] 0x000000000001d36c
